element label,point1,point2,F,sigma,sigma_y,sigma_b,sigma_lim,percent_allowed
A0202B0202,A0202,B0202,138774.4306894312,98656109.96755809,376000000.0,-15295043.560333427,376000000.0,26.238327119031403
B0202B0102,B0202,B0102,-3536358.197399087,-126009617.62691954,376000000.0,-158191374.04953867,-158191374.04953867,79.65644042478498
A0201A0202,A0201,A0202,373527.10029175045,265544095.54535115,376000000.0,-7928950.581676853,376000000.0,70.62342966631678
B0201B0202,B0201,B0202,-3736674.524614576,-133147408.0847463,376000000.0,-158191374.04953867,-158191374.04953867,84.16856411086631
B0202A0201,B0202,A0201,-48750.94137350153,-34657524.511339486,376000000.0,-5221911.60542469,-5221911.60542469,663.6942010917253
B0102B0201,B0102,B0201,4364440.62711054,155516343.05090377,376000000.0,-79095687.02476934,376000000.0,41.36072953481483
A0102B0202,A0102,B0202,670288.3682235386,202676344.10194078,376000000.0,-12277294.396753745,376000000.0,53.90328300583531
B0102A0202,B0102,A0202,-1085276.7944092348,-49869331.27376503,376000000.0,-80788774.65992214,-80788774.65992214,61.72804511974399
A0103A0203,A0103,A0203,2545544.4676871086,201072515.6114563,376000000.0,-71360555.23508514,376000000.0,53.47673287538731
A0203B0203,A0203,B0203,53540.6883776995,38062602.844684966,376000000.0,-15295043.560333427,376000000.0,10.123032671458766
B0203B0103,B0203,B0103,-2309801.851938415,-82304232.74734342,376000000.0,-158191374.04953867,-158191374.04953867,52.028268445009715
A0202A0203,A0202,A0203,825996.2339095545,249758021.871162,376000000.0,-18641843.812030893,376000000.0,66.4250058167984
B0202B0203,B0202,B0203,-4204198.059842131,-149806484.63104716,376000000.0,-158191374.04953867,-158191374.04953867,94.69952804388326
B0203A0202,B0203,A0202,-53987.57054957941,-38380295.78330845,376000000.0,-5221911.60542469,-5221911.60542469,734.9855509510685
B0103B0202,B0103,B0202,4013697.7869647415,184432603.37090194,376000000.0,-61334837.72181291,376000000.0,49.05122430077179
A0103B0203,A0103,B0203,1055957.5126937202,187672649.73783246,376000000.0,-20887646.421697937,376000000.0,49.91293876006183
B0103A0203,B0103,A0203,-1894027.2592349336,-67489105.28540058,376000000.0,-104182938.65222512,-104182938.65222512,64.77942181174899
A0104A0204,A0104,A0204,2008689.977098821,211242232.85687152,376000000.0,-53599705.932131305,376000000.0,56.18144490874242
